"DateTime","2021 All-Star Game"
"2021-03-19 16:04:06",23530
"2021-03-19 17:04:00",16539
"2021-03-19 18:03:26",17370
"2021-03-19 19:03:39",17209
"2021-03-19 20:02:59",16725
"2021-03-19 21:02:57",15980
"2021-03-19 22:02:58",15758
"2021-03-19 23:02:55",15388
"2021-03-20 00:02:52",15457
"2021-03-20 01:02:45",15465
"2021-03-20 02:03:11",15654
"2021-03-20 03:02:52",15654
"2021-03-20 04:02:46",15668
"2021-03-20 05:02:44",15635
"2021-03-20 06:02:49",15496
"2021-03-20 07:02:41",15464
"2021-03-20 08:02:55",15370
"2021-03-20 09:02:47",15440
"2021-03-20 10:02:55",15133
"2021-03-20 11:02:54",14571
"2021-03-20 12:03:01",14095
"2021-03-20 13:02:54",13986
"2021-03-20 13:58:14",14046
"2021-03-20 15:03:00",13681
"2021-03-20 16:03:06",13688
"2021-03-20 17:03:00",13795
"2021-03-20 18:03:17",13767
"2021-03-20 19:03:00",13742
"2021-03-20 20:03:18",13689
"2021-03-20 21:03:00",13585
"2021-03-20 22:03:08",13556
"2021-03-20 23:03:01",13516
"2021-03-21 00:03:05",13573
"2021-03-21 01:02:50",13487
"2021-03-21 02:03:07",13330
"2021-03-21 03:02:50",13427
"2021-03-21 04:02:51",13431
"2021-03-21 05:02:47",13338
"2021-03-21 06:02:54",13355
"2021-03-21 07:02:44",13308
"2021-03-21 08:02:58",13296
"2021-03-21 09:02:51",13366
"2021-03-21 10:03:00",13319
"2021-03-21 11:02:56",13293
"2021-03-21 12:03:04",13049
"2021-03-21 13:02:53",12823
"2021-03-21 14:03:06",12508
"2021-03-21 15:02:59",12127
"2021-03-21 16:03:05",11660
"2021-03-21 17:03:00",11112
"2021-03-21 18:03:17",10761
"2021-03-21 19:03:01",11677
"2021-03-21 20:03:17",11939
"2021-03-21 21:03:10",12096
"2021-03-21 22:03:10",12012
"2021-03-21 23:03:05",11795
"2021-03-22 00:03:06",11787
"2021-03-22 01:02:55",11666
"2021-03-22 02:04:21",11614
"2021-03-22 03:04:27",11637
"2021-03-22 04:04:24",11644
"2021-03-22 05:04:24",11648
"2021-03-22 06:04:42",11604
"2021-03-22 07:04:53",11608
"2021-03-22 08:03:09",11573
"2021-03-22 09:03:17",11461
"2021-03-22 10:03:53",11311
"2021-03-22 11:03:42",11031
"2021-03-22 12:03:44",10636
"2021-03-22 13:03:37",10339
"2021-03-22 14:04:05",10148
"2021-03-22 15:03:49",10060
"2021-03-22 16:03:45",10060
"2021-03-22 17:03:34",10060
"2021-03-22 18:03:36",10060
"2021-03-22 19:04:03",10123
"2021-03-22 20:05:56",9951
"2021-03-22 21:08:40",9801
"2021-03-22 22:06:32",9741
"2021-03-22 23:06:37",9740
"2021-03-23 00:06:38",9719
"2021-03-23 01:05:37",9479
"2021-03-23 02:09:27",9849
"2021-03-23 03:07:29",9863
"2021-03-23 04:09:22",9925
"2021-03-23 05:10:06",10173
"2021-03-23 06:10:43",7382
"2021-03-23 07:08:57",10231
"2021-03-23 08:10:31",10224
"2021-03-23 09:11:01",10138
"2021-03-23 10:11:21",10136
"2021-03-23 11:11:31",10099
"2021-03-23 13:14:52",9786
"2021-03-23 14:38:59",9902
"2021-03-23 16:07:00",9689
"2021-03-24 08:08:19",9617
"2021-03-24 12:07:54",10354
"2021-03-24 19:05:27",11433
"2021-03-24 20:05:43",11547
"2021-03-24 21:05:38",11517
"2021-03-24 22:06:42",11326
"2021-03-25 00:05:17",11226
"2021-03-25 01:05:01",11286
"2021-03-25 02:05:06",11274
"2021-03-25 03:04:50",11263
"2021-03-25 04:04:45",11441
"2021-03-25 05:04:41",11497
"2021-03-25 06:04:45",11501
"2021-03-25 07:04:48",11468
"2021-03-25 08:05:09",11431
"2021-03-25 09:05:16",11373
"2021-03-25 10:05:34",11438
"2021-03-25 11:05:57",11497
"2021-03-25 12:06:02",11479
"2021-03-25 13:05:47",10566
"2021-03-25 14:06:10",10812
"2021-03-25 15:05:54",10616
"2021-03-25 16:05:55",10491
"2021-03-25 17:05:43",10498
"2021-03-25 18:05:44",11803
"2021-03-25 19:05:47",11841
"2021-03-25 20:05:43",11832
"2021-03-25 21:05:43",11976
"2021-03-25 22:05:49",11911
"2021-03-25 23:05:34",11837
"2021-03-26 00:05:20",11976
"2021-03-26 01:05:10",12060
"2021-03-26 02:05:18",12086
"2021-03-26 03:05:02",12027
"2021-03-26 04:04:56",12041
"2021-03-26 05:04:52",12080
"2021-03-26 06:04:58",12138
"2021-03-26 07:04:53",12144
"2021-03-26 08:05:13",12141
"2021-03-26 09:05:13",12085
"2021-03-26 10:05:29",12059
"2021-03-26 11:05:33",11857
"2021-03-26 12:05:42",11696
"2021-03-26 13:05:48",11626
"2021-03-26 14:05:55",11396
"2021-03-26 15:05:49",11481
"2021-03-26 16:05:54",11578
"2021-03-26 17:05:41",11341
"2021-03-26 18:05:42",11211
"2021-03-26 19:05:45",11112
"2021-03-26 20:05:48",11027
"2021-03-26 21:05:44",11011
"2021-03-26 22:05:34",11053
"2021-03-26 23:05:37",11011
"2021-03-27 00:05:38",10896
"2021-03-27 01:05:12",10771
"2021-03-27 02:05:35",10740
"2021-03-27 03:05:24",10722
"2021-03-27 04:05:10",10801
"2021-03-27 05:05:08",10793
"2021-03-27 06:05:16",10808
"2021-03-27 07:05:07",10821
"2021-03-27 08:05:21",10818
"2021-03-27 09:05:20",10767
"2021-03-27 10:05:32",10752
"2021-03-27 11:05:44",10725
"2021-03-27 12:05:50",10625
"2021-03-27 13:05:44",10318
"2021-03-27 14:05:55",10441
"2021-03-27 15:05:51",10372
"2021-03-27 18:08:01",10044
"2021-03-27 19:06:26",10196
"2021-03-27 20:07:03",10175
"2021-03-27 21:08:20",10099
"2021-03-27 22:07:04",10041
"2021-03-27 23:05:50",10068
"2021-03-28 00:05:51",9982
"2021-03-28 01:05:46",9948
"2021-03-28 02:05:59",9951
"2021-03-28 03:05:36",9932
"2021-03-28 05:05:20",9771
"2021-03-28 06:05:25",9784
"2021-03-28 07:05:19",9726
"2021-03-28 08:05:35",9672
"2021-03-28 09:05:35",9561
"2021-03-28 10:05:38",9547
"2021-03-28 11:05:41",9528
"2021-03-28 12:06:00",9516
"2021-03-28 13:05:35",9505
"2021-03-28 14:05:42",9401
"2021-03-28 15:05:32",9445
"2021-03-28 16:05:43",9372
"2021-03-28 17:05:52",9294
"2021-03-28 18:05:56",9319
"2021-03-28 19:05:50",9352
"2021-03-28 20:05:58",9409
"2021-03-28 21:05:43",9334
"2021-03-28 22:05:54",9330
"2021-03-28 23:05:45",9249
"2021-03-29 00:05:36",9253
"2021-03-29 01:05:21",9351
